model,Store,MAE,RMSE,sMAPE
<modelo>,1,532087.1432222223,537714.2573199866,41.42733904055838
<modelo>,2,844964.1494722222,847840.2761393924,58.74304074664468
<modelo>,3,600867.4805277777,601046.3617540215,84.24682435689488
<modelo>,4,1108558.6532222223,1109581.4130475332,70.66046464770736
<modelo>,5,692758.8780277778,692957.2596586456,103.82602756866771
<modelo>,6,439074.0244722223,445139.5230919045,35.45608284384733
<modelo>,7,486828.0380277777,487769.8549030398,63.28296957528381
<modelo>,8,107136.48177777774,112609.08483766686,11.2241675152904
<modelo>,9,464369.12927777774,465136.5526606062,59.47780972236295
<modelo>,10,694493.1182222223,695460.1317311656,50.99512784048336
<modelo>,11,272764.18447222223,280732.74678684975,23.56828112631547
<modelo>,12,77086.97427777771,84939.96630658951,7.973513382201504
<modelo>,13,991835.4294722222,994729.1164554588,65.60886723461567
<modelo>,14,632213.7082222223,642527.7834505418,47.263650559264434
<modelo>,15,458751.7292777777,459111.1600324116,58.509074603608134
<modelo>,16,506498.70677777776,507744.0417341365,66.73020227043087
<modelo>,17,87247.52276388886,105987.95090013981,8.446172041828305
<modelo>,18,57936.39549305558,64710.339812305036,5.576676474949533
<modelo>,19,354671.5982222223,358971.5631080576,29.684002316282644
<modelo>,20,1061815.3107222223,1064875.927862866,68.64699617795833
<modelo>,21,363039.65927777777,363303.405981457,43.630977489282216
<modelo>,22,46643.89602083329,58406.7167091386,4.69456613759016
<modelo>,23,355093.38072222227,359721.26844539196,29.704472479879332
<modelo>,24,315603.5357222223,327274.5143619378,26.703034848759955
<modelo>,25,332896.7705277777,333200.40695882816,39.298575618757425
<modelo>,26,50461.960756944434,53301.65503933856,4.970688754526028
<modelo>,27,615347.6994722222,623190.7475955735,46.35500802893334
<modelo>,28,221749.3407222223,260599.91191392805,19.082227126103824
<modelo>,29,503791.18177777773,504264.18187877716,66.16795760650321
<modelo>,30,576540.5505277778,576573.0904777339,79.45782765188451
<modelo>,31,338766.5394722223,340565.9492082762,28.5912804752642
<modelo>,32,160843.80072222228,163403.68432125443,14.665799932183925
<modelo>,33,748316.5930277777,748501.1837305129,117.02332816874822
<modelo>,34,58744.1442777777,60429.81816103546,5.977377601455273
<modelo>,35,160542.13302777772,170985.70490970445,17.404882189783045
<modelo>,36,726742.8580277778,726834.2485092749,111.73872118908872
<modelo>,37,483233.37677777774,483382.54653374536,62.587110969471965
<modelo>,38,580010.8605277778,580651.6983285325,80.22066308196068
<modelo>,39,526655.9769722223,529161.1454589602,41.16895329430814
<modelo>,40,83745.53651388886,87905.76488723823,8.550139811837568
<modelo>,41,328062.4407222223,331482.2407810625,27.78092636921003
<modelo>,42,451534.8755277777,453495.8206977227,57.47508087765908
<modelo>,43,396121.3517777777,397002.37785956584,48.618451557022155
<modelo>,44,671682.7142777777,671774.9059701132,99.07847873079518
<modelo>,45,282491.7742777777,283266.96631447703,32.40451288646623
